Node Number	X Location (m)	Y Location (m)	Z Location (m)	Vector Deformation ()
1447	2,8842e-002	1,4709	2,2912	3,2715e-002	1,4533e-005	-9,4709e-002
1448	2,8842e-002	1,438	2,2912	3,2715e-002	1,4595e-005	-9,4707e-002
1449	2,8842e-002	1,4038	2,2912	3,2715e-002	1,4658e-005	-9,4705e-002
1453	2,8842e-002	1,375	2,2912	3,2715e-002	1,467e-005	-9,4703e-002
1457	2,8842e-002	1,5	2,2912	3,2714e-002	1,4522e-005	-9,471e-002
1461	1,3878e-016	1,5	2,2912	3,2763e-002	1,4561e-005	-9,3045e-002
1465	-2,8842e-002	1,5	2,2912	3,2811e-002	1,461e-005	-9,138e-002
1475	-2,8842e-002	1,4037	2,2912	3,2811e-002	1,4748e-005	-9,1375e-002
1476	-2,8842e-002	1,4379	2,2912	3,2811e-002	1,4684e-005	-9,1377e-002
1477	-2,8842e-002	1,4708	2,2912	3,2811e-002	1,4622e-005	-9,1379e-002
1481	-2,8842e-002	1,375	2,2912	3,2811e-002	1,4759e-005	-9,1373e-002
1485	1,249e-016	1,375	2,2912	3,2763e-002	1,4719e-005	-9,3038e-002
1495	-0,11593	1,4036	2,2883	3,2717e-002	1,4405e-005	-8,6285e-002
1496	-0,11592	1,4381	2,2883	3,2716e-002	1,4335e-005	-8,6288e-002
1497	-0,1159	1,471	2,2883	3,2716e-002	1,4267e-005	-8,629e-002
1522	-8,6756e-002	1,4711	2,2898	3,2753e-002	1,439e-005	-8,7999e-002
1523	-8,6756e-002	1,4381	2,2898	3,2753e-002	1,4456e-005	-8,7997e-002
1524	-8,6756e-002	1,4036	2,2898	3,2753e-002	1,4526e-005	-8,7996e-002
1528	-8,6756e-002	1,375	2,2898	3,2753e-002	1,4535e-005	-8,7994e-002
1532	-8,6756e-002	1,5	2,2898	3,2753e-002	1,4381e-005	-8,8e-002
1536	-0,11589	1,5	2,2883	3,2716e-002	1,4249e-005	-8,6292e-002
